                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    114,                  1.063,                0.54842,                 1.0674,                0.84266,                0.85329,                0.86415,                0.58435,                 1.0583,                0.52312,                 1.2366,              0.0044065,              0.0044065,              0.0044065
                    115,                 1.0729,                0.55832,                 1.0727,                0.89182,                 0.8428,                0.85368,                 0.5839,                 1.0637,                0.52972,                 1.2332,               0.004357,               0.004357,               0.004357
                    116,                 1.0507,                0.54451,                 1.0796,                0.87803,                 0.8842,                0.90077,                0.59458,                 1.0704,                0.51524,                 1.2321,              0.0043075,              0.0043075,              0.0043075
                    117,                 1.0213,                0.53682,                 1.0626,                0.84521,                  0.872,                0.88087,                0.59345,                 1.0527,                0.52724,                 1.2197,               0.004258,               0.004258,               0.004258
                    118,                  1.022,                0.53448,                  1.069,                 0.8627,                0.86443,                0.88528,                0.59272,                 1.0482,                0.52123,                 1.2035,              0.0042085,              0.0042085,              0.0042085
                    119,                 1.0442,                0.54771,                 1.0678,                0.86135,                0.88593,                0.88332,                0.59182,                 1.0324,                0.50996,                 1.2018,               0.004159,               0.004159,               0.004159
                    120,                  1.026,                0.53617,                 1.0551,                0.88632,                0.83492,                0.88115,                0.59409,                  1.038,                0.51777,                 1.2023,              0.0041095,              0.0041095,              0.0041095
                    121,                 1.0444,                0.53853,                 1.0534,                0.90009,                 0.8316,                 0.8673,                0.58331,                 1.0809,                 0.5245,                 1.2453,                0.00406,                0.00406,                0.00406
                    122,                 1.0269,                0.53817,                 1.0683,                0.85657,                0.85508,                0.87616,                0.59611,                 1.0466,                 0.5072,                 1.2093,              0.0040105,              0.0040105,              0.0040105
                    123,                 1.0282,                0.53456,                 1.0722,                0.82543,                0.86703,                0.85495,                0.58571,                 1.0659,                0.52152,                 1.2308,               0.003961,               0.003961,               0.003961
                    124,                 1.0438,                 0.5449,                 1.0737,                 0.8973,                0.82574,                0.87047,                0.57869,                  1.048,                0.51776,                 1.2054,              0.0039115,              0.0039115,              0.0039115
